CustomerID,CustomerName,Region,SignupDate,TotalValue,Quantity,SignupDays,Cluster
C0001,Lawrence Carroll,South America,2022-07-10,3354.5200000000004,12,932,2
C0002,Elizabeth Lutz,Asia,2022-02-13,1862.74,10,1079,2
C0003,Michael Rivera,South America,2024-03-07,2725.38,14,326,1
C0004,Kathleen Rodriguez,South America,2022-10-09,5354.88,23,841,0
C0005,Laura Weber,Asia,2022-08-15,2034.24,7,896,2
C0006,Brittany Palmer,South America,2024-01-07,4227.57,12,386,1
C0007,Paul Graves,Asia,2022-06-18,2579.8199999999997,8,954,2
C0008,David Li,North America,2024-01-13,4271.61,20,380,0
C0009,Joy Clark,Europe,2023-08-14,896.5,3,532,3
C0010,Aaron Cox,Europe,2022-12-15,1717.5500000000002,12,774,2
C0011,Bryan Mathews,South America,2022-12-12,3730.0,13,777,2
C0012,Kevin May,South America,2024-08-07,5231.259999999999,19,173,0
C0013,Lauren Buchanan,South America,2024-05-19,6000.56,18,253,0
C0014,Deborah Wilcox,Europe,2024-06-22,318.66,2,219,3
C0015,Tina Duran,North America,2023-11-20,1157.48,4,434,3
C0016,Emily Woods,North America,2024-01-03,3874.42,10,390,1
C0017,Jennifer King,Europe,2023-12-05,4753.82,21,419,0
C0018,Tyler Haynes,North America,2024-09-21,4781.85,18,128,1
C0019,Brandon Rodriguez,Europe,2023-01-12,2185.8199999999997,11,746,2
C0020,Mr. Manuel Conway,North America,2024-06-11,922.41,3,230,3
C0021,Robert Blanchard,Asia,2023-04-17,5419.92,17,651,0
C0022,Teresa Esparza,Asia,2023-10-27,4655.07,15,458,1
C0023,Nicholas Cain,Europe,2022-03-04,5158.65,14,1060,2
C0024,Michele Cooley,North America,2024-02-05,3627.02,14,357,1
C0025,Gregory Odom,South America,2022-07-04,1589.81,8,938,2
C0026,Sara Miller,North America,2024-05-03,3549.05,12,269,1
C0027,Justin Heath,Asia,2022-11-09,2562.94,12,810,2
C0028,Jennifer Pena,Asia,2024-06-29,6819.57,24,212,0
C0029,Erin Manning,North America,2022-04-16,1785.8700000000001,10,1017,2
C0030,Mark Brock,North America,2024-01-30,2549.6800000000003,13,363,1
C0031,Tina Miller,South America,2024-04-11,2005.38,10,291,1
C0032,Dustin Campbell,South America,2024-04-17,673.0,5,285,3
C0033,Tyler Holt,North America,2024-08-04,132.64,2,176,3
C0034,Dalton Perez,North America,2023-09-27,3073.2000000000003,17,488,1
C0035,Brianna Richardson,North America,2024-10-01,2587.61,10,118,1
C0036,Brian Aguilar DDS,North America,2024-07-06,1877.96,8,205,1
C0037,Linda Smith,Europe,2023-02-04,4252.77,14,723,2
C0038,Jeffrey Perkins,North America,2022-04-16,2696.85,13,1017,2
C0039,Angela Harris,South America,2024-10-13,4239.6,18,106,1
C0040,Michael Harrell,Asia,2022-03-07,3969.3999999999996,10,1057,2
C0041,Lindsey Deleon,Europe,2023-12-27,6149.78,23,397,0
C0042,Heather Riley,North America,2023-03-15,2402.49,6,684,3
C0043,Sandy Short MD,Asia,2023-02-05,1131.3200000000002,6,722,3
C0044,Kenneth Alexander,Europe,2024-07-10,3230.1099999999997,7,201,1
C0045,Michael Williams,Asia,2022-02-25,6021.8,23,1067,0
C0046,Beth Cardenas,North America,2024-10-23,5627.83,19,96,0
C0047,Samantha Frank,North America,2024-03-22,2870.54,13,311,1
C0048,Matthew Park,South America,2024-11-07,3850.9399999999996,12,81,1
C0049,Jason Yates,North America,2024-09-18,2315.48,17,131,1
C0050,Ryan Davis,North America,2024-03-02,3068.83,8,331,1
C0051,Nicholas Ellis,Europe,2023-12-21,5699.57,16,403,0
C0052,Stanley Aguirre,South America,2024-02-20,2488.01,10,342,1
C0053,Albert Burke,Europe,2022-06-18,5316.46,18,954,0
C0054,Bruce Rhodes,Asia,2024-09-29,8040.389999999999,24,120,0
